stock_name,stock_code,article_date,article_title,article_nickname,article_content,article_comments,article_viewers,article_likes,article_dislikes,article_url,vote_election,vote_candidate,vote_category,vote_start_date,vote_end_date
포바이포,389140,2025-06-10,오른 만큼 빠졌으니....,mrya****,내일 다시 빨간 불자동차겠네....,['하여튼 창의력 없는 XX ㅋㅋ밑에 글봐라 ㅋㅋㅋ'],206,4,3,https://finance.naver.com/item/board_read.naver?code=389140&nid=304030409&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,500만 시외에서 담아봅니다,rlaq****,발만 담궈봅니다,"['켘ㅋㅋㅋㅋㅋㅋㅋ', '싼맛에 담긴하는데 ㅋㅋㅋㅋㅋ 어정쩡하네']",237,1,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304029677&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,더 떨궈서 파세요 줍줍 감사,zaq3****,더 많이 떨궈서 팔아주면 감사감사 내가 주워갈께유~,"['니엠휘나 주워', '양넘들이 다 팔고 나갔으니, 또 내일부터 양넘들이 줍줍하겠네 ㅠㅠㅠ', '이미 시외 줍줍시작', '나도 있으니 줄을 서시오~!']",196,5,3,https://finance.naver.com/item/board_read.naver?code=389140&nid=304029275&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,더 떨궈서 파세요 줍줍 감사,jeus****,굿잡...^^*,[],45,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304029385&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,[삭제된 게시물의 답글]물린애들 필독,dong****,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ대놓고 알바질 ㅋㅋㅋㅋㅋ 무지성매수 강요보소 전사의심장 이러고있누,['채팅방이뭔데 톡방 파라니까 못파노 ㅋㅋㅋㅋㅋ 알바자슥'],99,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304029434&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,뭔가 완성되려면,ma******,끝에가서 돈이 부족하지. 포바가 사기를 전제로 맘만먹으면 몇백만주 추가상장할수 있겠지. 딸랑 57000주! 뭔가 확실하니까 그만큼만 하는거다.,[],140,3,2,https://finance.naver.com/item/board_read.naver?code=389140&nid=304028919&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,포 만드는회사,hse7****,K9 자주포 잘 팔리는데 주가꼬라지가,[],46,0,1,https://finance.naver.com/item/board_read.naver?code=389140&nid=304028778&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,젠슨 황 엔비디아 CEO “AI는 위대한 평준화 도구… 코딩 몰라도 개발자 돼”,zaq3****,젠슨 황 엔비디아 CEO “AI는 위대한 평준화 도구… 코딩 몰라도 개발자 돼” 출처 : 조선비즈 | 네이버 - https://naver.me/xZjh6FOB,[],210,2,1,https://finance.naver.com/item/board_read.naver?code=389140&nid=304028725&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,솔직하자 우리,leol****,조카가 결혼식장 안가것냐? 가면 누구있어 거의다 정치인들 민주당인데 누구세요 이러면 위세아이텍 대표입니다 하겠지 먼생각하겠어 정치인들이 재명이형한테 잘보일라고 막도와주겠지 ㅋㅋㅋ 큰그림 안보임지금? 지금 사야되 진짜 이성적으러 내가한말 맞자나 포바이포 크라욱위드인가 머시기 이런거 밀어줄고같에? ㅋㅋㅋㅋ 위세아이텍 사라 난팁준거다,['이것도 알바 냄새 나네'],109,1,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304028607&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,시외...,jeus****,이넘들 눌러서 싸게 먹어버리네...,[],103,2,1,https://finance.naver.com/item/board_read.naver?code=389140&nid=304028407&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,쫄보들,ksjo****,5만7천주로 쫄기는 새가슴이가 ~~~,['전체 주식수의 한 0.2% 되겠네'],155,7,3,https://finance.naver.com/item/board_read.naver?code=389140&nid=304028228&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,안티가 많으니 내일 올라가겠구만,r2******,누군지 몰라도 일부러 노골적으로 안티짓거리 하는데 . 그걸보고 누가 매도하냐?,[],70,4,2,https://finance.naver.com/item/board_read.naver?code=389140&nid=304028163&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,[삭제된 게시물의 답글]추가상장~추가상장~하앙까~신나능노랭~,jeus****,고생한다. 추가상장을 500만주정도 하지...너무 찔끔하네...ㅠㅠ,[],36,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304028182&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,[삭제된 게시물의 답글]추가상장~추가상장~하앙까~신나능노랭~,jeus****,알바 너땜시 내일 상한가 가는거 아녀...?,['머가리 없냐? ㅋㅋㅋ돈 없어서 추가상장하는데 가긋냐 ㅋㅋ 그리고 나 알바 아니야 흑우 놀리는 재미로 그러는거야 ㅋㅋ'],85,1,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304027932&st=&sw=&page=62,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,ㅋㅋㅋㅋㅋ 공시떳네,dong****,내일추락 12000원에서 봅시다들 ~ kms9 알바확정 ^^,[],149,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304027522&st=&sw=&page=62,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,추가상장,soku****,애 때문에 내가 속이 타네요 갈만하니 추가상장,['57000주 13 일 추가상장'],303,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304027278&st=&sw=&page=62,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,아이고,vip8****,야한테 물려서 죽을것같애,['잘가라 뽀빠이'],144,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304027189&st=&sw=&page=62,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,재활용도 안되는,khg9****,소각용 쓰레기,[],49,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304027175&st=&sw=&page=62,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,【 포바이포 】 <,naka****,"그냥 두고 보기엔 너무 아쉬 운 상황입니다 좀 전에 증 권측으로부터 받은 포바이포 주 가관 련내용 인데 내 일오전중으로 큰 폭으로변 동있 을조짐 보입니 다 근 거,출 처확실 합니다 비 용드는 거없으 니 보실 분들은 / 공 일 공 4-8-6-0 , -7-6-5-1 여기로 포바이포 남기 면 전 부보냅 니다","['아무대나서 낚시질을 하고 있네..', '사기꾼들...상처받은 개미들 등에다 빨대 꽂고 쪽쪽 빨아먹는 하이에나 같은...', '너희를사기꾼. 이라고. 한단다다른데가서놀아라 너희가족한테권하길바란다']",117,1,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304026590&st=&sw=&page=62,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,재무 꼬락지가 말이 아니다,time****,이게 가겠냐 ㆍ 누누히 말해줘다 ㆍ한 순간에 켁,[],43,0,1,https://finance.naver.com/item/board_read.naver?code=389140&nid=304026287&st=&sw=&page=62,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,-8.88,wait****,아직도 팔팔하단 증거여???,['아니 빨리 팔고 튀어라는 뜻 빨리 팔팔팔고 튀어'],157,1,3,https://finance.naver.com/item/board_read.naver?code=389140&nid=304024989&st=&sw=&page=62,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,외국인 대다나다...,sds6****,외국인이 어제 띄워놓고 공매도 친후에 오늘 싹 팔고 튀었네요. 보유지분도 거의 없고... ai로 엮여있지만 지금은 그냥 단타종목 그 이상도 이하도 아닙니다. 종목이 얼마나 허접스럽고 똥주면 보유지분이 거의 없습니다. 기관도 거의 거래가 없고... 물론 개인들에겐 최고의 종목이죠. 인기 만점... 개인이 사랑하는 퓨리오사 관련 대장주...물론 지금은 솔트룩스 쫄다구를 역임중인데... 그마저도 잘 못합니다. 아무튼 외인이 위에서 먹고 아래로 내려서 먹고... 꿩먹고 알먹고 도랑치고 가재 잡고... 외국인 단타가 잠깐 들어왔다가 나간거니 큰 의미는 없습니다. 특히나 많이 하락한 이유는... 이젠 모르는 사람이 없는데... 바로 영원한 외국인 똘마니...신한창구... 외국인 살때는 대충 따라 사는데... 외국인 팔때는 엄마 살려주세요. 하면서 대량매도...겁이 엄청 많습니다. 특히나 똥주인 경우엔 대량매도를 서슴치 않죠.,[],178,2,1,https://finance.naver.com/item/board_read.naver?code=389140&nid=304024573&st=&sw=&page=62,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,손절,yong****,ㄱ,[],75,3,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304024501&st=&sw=&page=62,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,ㅎㅎ,leol****,https://mbiz.heraldcorp.com/article/10505747 영부인 사촌오빠 위세아이텍 가즈아,[],160,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304024442&st=&sw=&page=62,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,Ai 관련주 팩트,leol****,영부인 사촌오빠 위세아이텍 올인함 ㅋㅋㅋㅋㅋㅋㅋ 진짜맞네 재명이형이 여기키워주겠냐 친인척 키워주지 아들결혼식 참석만하면 떡상이다 ㅋㅋㅋ,"['이재명이는 지랑 인 맥학맥 연결되면. 그 자체로. 아웃', '위세는 인맥이 강해요 가족이라 더 칼검증 ok']",257,1,1,https://finance.naver.com/item/board_read.naver?code=389140&nid=304022527&st=&sw=&page=62,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,주포가 양아,bbm6****,주포가,[],77,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304022122&st=&sw=&page=62,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,갈때 못가면,pter****,개털이던데...,['매매동향부탁요'],153,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304021547&st=&sw=&page=62,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,거래량 안터지고,jin_****,빠져서 걱정안해도된다 아직,['거래량 안터지고 쭈우우우욱 계단식 하락으로 나락보내는거 많다'],227,6,2,https://finance.naver.com/item/board_read.naver?code=389140&nid=304020842&st=&sw=&page=62,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,내일 상한가,ktg0****,오늘 내렸으면 내일은 상한가 여라 기자 내일 상한가,[],144,1,2,https://finance.naver.com/item/board_read.naver?code=389140&nid=304020791&st=&sw=&page=62,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,유증뜨면,dong****,kms9 이 ㅅㅋ 알바인거 확정이다 ㅋㅋㅋㅋ,"['주총 좀 참석해봐', '야 위에 채팅방 들어와봐^^']",262,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304020683&st=&sw=&page=62,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,거래 폼새가,pter****,오늘 장 끝나고 유증 공시 나오는거 아닌가 몰겄네. 3자 배정이면 대박인데.. 주주배정 이면 쪽박이고.. 재무 상황 보면 유증은 필수 인데...,[],148,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304020314&st=&sw=&page=63,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,죽기아니면 까무려치기다,llll****,죽으려면 뭔짓거릴 못하냐 부지련히 매수 하세요 결과는 뻔하다 조직을 무슨방법으로 이기냐,['엑페와 임마'],180,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304019971&st=&sw=&page=63,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,- 포바이포 변 동,ktg0****,짜증나게 여기서 영업 하지 마세요,[],56,2,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304019904&st=&sw=&page=63,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,눈치있으면,ccos****,?스로 move~,"['ㅇ ㅇ 꺼졍', '엑스가 찐임 이제는 ㅋㅋㅋㅋㅋㅋ']",190,3,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304019219&st=&sw=&page=63,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,널리고 널린게ai인데 이빠이 올라간 여기서 뭐해?,jin0****,단타들 치려고 그러는거지? 설마 투자 할려고 이자리에서 매수 하는 깡통들은 없것지,[],122,2,1,https://finance.naver.com/item/board_read.naver?code=389140&nid=304017510&st=&sw=&page=63,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,손절^^,yong****,ㅣ,[],82,1,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304017114&st=&sw=&page=63,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,개잡주 손절하고 떠난다,fu******,그지 같은 개잡주,[],82,2,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304016866&st=&sw=&page=63,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,내일 주총에서 뭔일이 나니깐,cjh6****,이렇게 빠지는겨 미리 빼고있잖아 회사도 빠질거 아니 고점에서 어느정도 처분한거고,[],360,2,1,https://finance.naver.com/item/board_read.naver?code=389140&nid=304015639&st=&sw=&page=63,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,한입 먹을려다가 물렸다.,fina****,낼 못가면 손절쳐야되네 ㅠㅠ,[],84,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304015404&st=&sw=&page=63,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,사둬라,sjh5****,내일 조정 끝고 오른다 던지지 말고,[],119,0,2,https://finance.naver.com/item/board_read.naver?code=389140&nid=304014200&st=&sw=&page=63,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,15000원가즈아,wk******,풀메수,[],73,1,1,https://finance.naver.com/item/board_read.naver?code=389140&nid=304012888&st=&sw=&page=63,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,공매도,meta****,어제 외인 이빠이 매수하더니 다 매도하네. 정말 시~~라기다,[],76,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304012780&st=&sw=&page=63,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,[삭제된 게시물의 답글]Dong야 안티하려거든,dong****,나 안티 맞아 당당해 근데 알바는아니야 원하면 주주 인증해줄게 오픈톡방 하나 파서 링크줘봐 ^^ 그리고 뭐하러 글을지워 너처럼 ? ㅋㅋㅋㅋㅋ 당당하지못하니까 이전글 지우는거아님 ? 찬티가많은데 주가가 오르겠냐 ? 모지리야 아 너는 세력알바라 참 상관없겠지 ㅋㅋㅋㅋㅋ 알바할거면 티 안나게좀해라 ㅈㄴ티난다 야 ㅋㅋㅋㅋ 무지성으로 그렇게 사놓으면 부자된다고 대놓고 선동하면 잘도사겠다 ㅋㅋㅋㅋㅋ 외인이 어제산 23만주 싸그리 개인한테 떠넘기는중인데 그런데 그걸 사라 ? ㅋㅋㅋㅋㅋㅋ 누가봐도 알바 개수작아니냐 ?,"['니같이 나무만 보는 호구들은 형같은 숲을 절대 볼수가 읍다ㅋㅋㅋㅋ ai대장은 포바가 맞다 아직 안뺏겼어 급등때 움직임만 봐도 안다 ^^ 그래서 엑스페릭스에서 이사온거야^^', '나지금 신규진입중인데 무슨 글을 지워^^모지라 엑스페릭스에서 적당히 먹고 이사중이다 못믿겠음 거기서 나찾아바라 글안지웠으니^^ 한심한넘ㅋㅋㅋㅋ']",96,0,1,https://finance.naver.com/item/board_read.naver?code=389140&nid=304013050&st=&sw=&page=63,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,이번주23000간다,sjh5****,전부 매수하자 조정 끝났다,[],56,1,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304011894&st=&sw=&page=63,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,자사주 매각 공시내고,pter****,주가 떨어져 시작하면 투매 나올까봐 어제 사력을 다해 견인해 놓고 오늘부터 찔떡찔떡 파는거지.그럼 왜 주가 안 빠지냐면 그래야 비싼가격에 유증 할수 있으니까 그러는거 아닌가?,[],169,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304011295&st=&sw=&page=63,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,어제올리고어널내리고,dlwj****,아놔 어제올린거 오늘다 내리냥 미친 아놔다털고 나와야 하나,[],144,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304009338&st=&sw=&page=63,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,[삭제된 게시물의 답글]지금 파는 놈들은,ssss****,몰빵해라 형들은 튄다,[],57,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304010441&st=&sw=&page=63,21대,이재명,정책주,2025-05-03,2025-06-10
