stock_name,stock_code,article_date,article_title,article_nickname,article_content,article_comments,article_viewers,article_likes,article_dislikes,article_url,vote_election,vote_candidate,vote_category,vote_start_date,vote_end_date
넥스트아이,137940,2025-06-09,외놈들 엄청 에너지모으고 있노~,ccar****,준돌이 제명하는날 한방에 내놓을라고 준비중이다~ (3층 추매준비중),['ㅋ.ㅋ 정상적인 종목은 하루에 몇백억들어오는데 천만원들어와서 신났어요? 우그 내새끼 귀엽노.ㅋ'],87,0,1,https://finance.naver.com/item/board_read.naver?code=137940&nid=303943871&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-09,외놈들 엄청 에너지모으고 있노~,py******,흠...400원짜리 천만원대 산거가지고 무슨 에너지...? ㅋ,[],37,0,0,https://finance.naver.com/item/board_read.naver?code=137940&nid=303948683&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-09,매집인가,kn******,가긴가네 음,[],65,2,1,https://finance.naver.com/item/board_read.naver?code=137940&nid=303935380&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-09,2백원대,star****,본다 다음대선까지,[],55,1,0,https://finance.naver.com/item/board_read.naver?code=137940&nid=303929537&st=&sw=&page=6,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-09,대선 같은,capt****,소리하네 담 총선에라도. 나올지 비례대표는 상관이 없겠지만,[],36,1,0,https://finance.naver.com/item/board_read.naver?code=137940&nid=303937789&st=&sw=&page=6,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-09,꽁떡 개꿀이쥬?,look****,공소시효 지났다고 무혐의라고 외치면 되쥬? ㅋㅋㅋㅋㅋ,[],47,2,0,https://finance.naver.com/item/board_read.naver?code=137940&nid=303926104&st=&sw=&page=6,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-09,회사 재무표는 보고 투자하냐? ㅋㅋㅋㅋ,dach****,그냥 막 갖다 붇니?,['쎄쎄 한다잔아 이거 쎄쎄 관련주야 ㅋㅋㅋ'],126,1,2,https://finance.naver.com/item/board_read.naver?code=137940&nid=303920729&st=&sw=&page=6,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-09,399원이다,cjde****,465나누기 399는 16.5% 465나누기 300 은 55% 465 나누기 232.5은 더블. 38만명 제명동의 현시간 트래픽과다 페이지접속불가 의원직제명은 될 일 없고 대통령분노로 (오광수민정 젓가락 좌불안석) 사법리스크는 존재하니 거래일수 250일 움직임은 상기와 같다 노름쟁이들 못 먹어도 젓가락 및 20대남 교주 주시기로 현값 399원 1년 내 년금리 2.75% 대비 최소6배에서 27배 수익 가? 돈놓고돈먹기 아사루비야~~~!!! 20250609 11:32 현재 노름주 신용비율 빵프로!!!,"['여기 병원이야. 정신병원', '환자 분 약 드실 시간이에요 빨리 자리로 오세요', '앗. 준스기주 더하기 한한령 해제 이재명 정책주도 되시긋으니 , 이재명 임기 내 . 5천 1만도 낮을확률로 가능하시긋다5천나누기 399는 12.5배.']",98,1,2,https://finance.naver.com/item/board_read.naver?code=137940&nid=303917262&st=&sw=&page=6,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-09,그래서,capt****,오른다는건가요?,[],36,0,2,https://finance.naver.com/item/board_read.naver?code=137940&nid=303918651&st=&sw=&page=6,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-09,마 20박는겁니다 원래...,tmdt****,전에 많이 빠져논거 고마운줄아쇼,[],60,1,0,https://finance.naver.com/item/board_read.naver?code=137940&nid=303909185&st=&sw=&page=6,21대,이준석,인맥주,2025-05-03,2025-06-10
